row,source,rms_x,rms_y,rms_z,rms_px_can,rms_py_can,rms_delta
FIRST,BMAD-input,0.00000,0.00000,0.00600,0.00000,0.00000,0.02600
FIRST,OPALX-input,0.00000,0.00000,0.00600,0.00000,0.00000,0.02600
FIRST,OPALX-monitor,0.00000,0.00000,0.00600,0.00000,0.00000,0.02600
