0. Iteration: Error: Max: 0.73929530,  L2: 0.30630656 T= 304.26716709
1. Iteration: Error: Max: 0.66560513,  L2: 0.22676229 T= 145.65296006
2. Iteration: Error: Max: 0.57787329,  L2: 0.16850862 T= 150.15127802
3. Iteration: Error: Max: 0.48760451,  L2: 0.12601651 T= 144.55831897
4. Iteration: Error: Max: 0.40267400,  L2: 0.09501407 T= 147.36463797
5. Iteration: Error: Max: 0.32724493,  L2: 0.07227721 T= 144.48914099
6. Iteration: Error: Max: 0.26274086,  L2: 0.05544356 T= 148.15768492
7. Iteration: Error: Max: 0.20902305,  L2: 0.04283079 T= 154.52397299
8. Iteration: Error: Max: 0.16514026,  L2: 0.03326379 T= 148.36444592
9. Iteration: Error: Max: 0.12978238,  L2: 0.02592713 T= 150.51221395
10. Iteration: Error: Max: 0.10158804,  L2: 0.02025167 T= 146.09657800
11. Iteration: Error: Max: 0.07927597,  L2: 0.01583381 T= 146.12056696
12. Iteration: Error: Max: 0.06172084,  L2: 0.01238114 T= 145.67599297
13. Iteration: Error: Max: 0.04796703,  L2: 0.00967688 T= 143.80303204
14. Iteration: Error: Max: 0.03722525,  L2: 0.00755703 T= 145.25801301
15. Iteration: Error: Max: 0.02885700,  L2: 0.00589546 T= 144.22902501
16. Iteration: Error: Max: 0.02235008,  L2: 0.00459401 T= 145.81901896
17. Iteration: Error: Max: 0.01729807,  L2: 0.00357572 T= 144.91129196
18. Iteration: Error: Max: 0.01337999,  L2: 0.00278000 T= 146.18480408
19. Iteration: Error: Max: 0.01034441,  L2: 0.00215903 T= 144.83241391
20. Iteration: Error: Max: 0.00799430,  L2: 0.00167508 T= 145.74878001
21. Iteration: Error: Max: 0.00617595,  L2: 0.00129841 T= 144.49769306
22. Iteration: Error: Max: 0.00476977,  L2: 0.00100560 T= 144.90020299
23. Iteration: Error: Max: 0.00368281,  L2: 0.00077822 T= 147.87853301
