0  0.68612201   0.37924465  4.49285901
1  0.43357047   0.22545531  3.87686706
2  0.25500858   0.12849871  3.84670496
3  0.14372206   0.07165167  3.81696796
4  0.07914290   0.03958002  3.80593705
5  0.04306563   0.02183446  3.84563005
6  0.02331463   0.01209857  3.73050189
7  0.01280157   0.00676564  3.66333890
8  0.00852393   0.00383460  3.84694302
9  0.00572987   0.00221124  4.45673907
10  0.00387225   0.00130137  3.79666698
11  0.00262599   0.00078310  3.59768498
12  0.00178375   0.00048196  3.71746099
13  0.00121374   0.00030298  3.44159901
14  0.00082632   0.00019408  3.89792097
15  0.00056292   0.00012633  3.76075506
16  0.00038371   0.00008334  3.71439803
17  0.00026169   0.00005561  4.39288294
18  0.00017855   0.00003750  3.76470399
19  0.00012190   0.00002557  4.01031101
20  0.00008331   0.00001766  3.49671805
21  0.00005703   0.00001242  3.75066900
22  0.00003913   0.00000896  3.79145205
23  0.00002695   0.00000670  3.74515998
24  0.00001868   0.00000526  3.58263600
25  0.00001306   0.00000436  4.20031404
26  0.00000928   0.00000381  3.72203100
27  0.00000781   0.00000349  3.52020097
28  0.00000767   0.00000329  3.64282608
29  0.00000758   0.00000317  3.60192704
30  0.00000752   0.00000310  3.79917502
31  0.00000749   0.00000306  3.55265403
32  0.00000746   0.00000303  3.85006797
33  0.00000745   0.00000301  4.15141296
34  0.00000744   0.00000300  3.70829999
35  0.00000743   0.00000299  3.62128890
