0  0.62750247 0.09949692  47.90732896
1  0.29084325 0.01845236  29.77667701
2  0.12461284 0.00441214  29.80460799
3  0.05177320 0.00143224  29.75050402
4  0.02116886 0.00053609  29.76597106
5  0.00857616 0.00020876  29.73265910
6  0.00345565 0.00008231  29.75187492
7  0.00138793 0.00003280  29.73852909
8  0.00055640 0.00001356  29.77195907
9  0.00022281 0.00000662  29.76869595
10  0.00008925 0.00000466  29.75248003
11  0.00003583 0.00000427  29.77319098
12  0.00002714 0.00000420  29.74791694
13  0.00002660 0.00000419  29.75141001
14  0.00002640 0.00000419  29.75982904
15  0.00002633 0.00000419  29.76987803
16  0.00002631 0.00000419  29.74053299
