0  0.89312897 0.44070623
1  0.80274571 0.38610117
2  0.71926196 0.33623747
3  0.64093011 0.29160019
4  0.56737047 0.25213493
5  0.49898557 0.21752917
6  0.43627746 0.18736392
7  0.37956670 0.16118633
8  0.32890080 0.13854663
9  0.28409214 0.11901778
