0  0.73929530 0.30630656  441.64855071
1  0.66560513 0.22676229  161.29042931
2  0.57787329 0.16850862  162.16292579
3  0.48760451 0.12601651  160.71876680
4  0.40267400 0.09501407  162.81425919
5  0.32724493 0.07227721  159.80920781
6  0.26274086 0.05544356  161.17172543
7  0.20902305 0.04283079  158.67295344
8  0.16514026 0.03326379  159.79437827
9  0.12978238 0.02592713  160.71758745
10  0.10158804 0.02025167  160.85748679
11  0.07927597 0.01583381  159.73741864
12  0.06172084 0.01238114  161.98168663
13  0.04796703 0.00967688  159.78721069
14  0.03722525 0.00755703  162.23397040

