0   0.72621912  0.35428565
1   0.51975292  0.24323700
2   0.36188783  0.16372988
3   0.24587513  0.10894769
4   0.16427448  0.07205417
5   0.10865118  0.04753825
6   0.07148004  0.03136618
7   0.04693408  0.02073440
8   0.03082785  0.01375044
9   0.02029483  0.00915794
10   0.01341934  0.00613070
11   0.00892622  0.00412818
12   0.00599901  0.00279761
13   0.00434699  0.00190884
14   0.00317155  0.00131164
15   0.00232395  0.00090774
16   0.00170797  0.00063267
17   0.00125798  0.00044400
18   0.00092800  0.00031366
19   0.00068540  0.00022296
20   0.00050668  0.00015941
21   0.00037484  0.00011460
22   0.00027749  0.00008281
23   0.00020553  0.00006013
24   0.00015232  0.00004387
25   0.00011295  0.00003217
26   0.00008381  0.00002371
27   0.00006223  0.00001757
28   0.00004626  0.00001312
29   0.00003443  0.00000987
30   0.00002567  0.00000750
31   0.00001918  0.00000578
32   0.00001438  0.00000452
33   0.00001084  0.00000361
34   0.00000822  0.00000296
35   0.00000630  0.00000249
36   0.00000493  0.00000215
37   0.00000444  0.00000191
38   0.00000414  0.00000174
39   0.00000394  0.00000163
40   0.00000380  0.00000154
41   0.00000371  0.00000148
42   0.00000364  0.00000144
43   0.00000359  0.00000141
44   0.00000355  0.00000139
45   0.00000352  0.00000137
46   0.00000350  0.00000136
47   0.00000349  0.00000135
48   0.00000348  0.00000135
49   0.00000347  0.00000134
50   0.00000347  0.00000134
