interval,opalx_start_m,opal_start_m,start_diff_mm,opalx_end_m,opal_end_m,end_diff_mm,opalx_samples,opal_samples
1,0.2698131769542506,0.2548235560513173,14.989620902933321,1.229148914739076,1.244138535641974,-14.989620902898126,33,67
2,2.758090251043793,2.758090251047917,-4.1238124026676815e-09,3.747405230634227,3.747405230638527,-4.300115818978156e-09,34,67
3,5.756014437234877,5.756014437241623,-6.745715097622451e-09,6.7453294168251,6.745329416832186,-7.085887432367599e-09,34,67
4,8.274270753130242,8.259281132238533,14.98962089170952,9.233606490914314,9.248596111829169,-14.98962091485545,33,67
