family,code,angle,e1,global_x,global_z,global_tx,global_tz
SBEND,ANALYTIC,+pi/4,0,-0.3729232285780566,0.9003163161571061,-0.7071067811865475,0.7071067811865476
SBEND,BMAD,+pi/4,0,-0.37292,0.90032,-0.70711,0.70711
SBEND,OPALX,+pi/4,0,-0.3729232286009077,0.900316316199454,-0.7015314252646875,0.7126385194234844
SBEND,ANALYTIC,-pi/4,0,0.3729232285780566,0.9003163161571061,0.7071067811865475,0.7071067811865476
SBEND,BMAD,-pi/4,0,0.37292,0.90032,0.70711,0.70711
SBEND,OPALX,-pi/4,0,0.3729232286009077,0.900316316199454,0.7015314252646875,0.7126385194234844
SBEND,ANALYTIC,+pi/2,0,-0.6366197723675813,0.6366197723675814,-1.0,6.123233995736766e-17
SBEND,BMAD,+pi/2,0,-0.63662,0.63662,-1.0,0.0
SBEND,OPALX,+pi/2,0,-0.6366197724015148,0.636619772400726,-0.9999691576460779,0.007853900724718857
SBEND,ANALYTIC,-pi/2,0,0.6366197723675813,0.6366197723675814,1.0,6.123233995736766e-17
SBEND,BMAD,-pi/2,0,0.63662,0.63662,1.0,0.0
SBEND,OPALX,-pi/2,0,0.6366197724015148,0.636619772400726,0.9999691576460779,0.007853900724718857
RBEND,ANALYTIC,+pi/4,0,-0.4142135623730951,1.0,-0.7071067811865475,0.7071067811865476
RBEND,BMAD,+pi/4,0,-0.41420999999999986,0.9999999999999999,-0.70711,0.70711
RBEND,OPALX,+pi/4,0,-0.6687978130246705,0.811235369888517,-0.8341705027792399,0.5515066384850051
RBEND,ANALYTIC,-pi/4,0,0.4142135623730951,1.0,0.7071067811865475,0.7071067811865476
RBEND,BMAD,-pi/4,0,0.41420999999999986,0.9999999999999999,0.70711,0.70711
RBEND,OPALX,-pi/4,0,0.6687978130246705,0.811235369888517,0.8341705027792399,0.5515066384850051
RBEND,ANALYTIC,+pi/2,0,-0.9999999999999999,1.0,-1.0,6.123233995736766e-17
RBEND,BMAD,+pi/2,0,-1.0,1.0,-1.0,0.0
RBEND,OPALX,+pi/2,0,-0.793658,-0.25462000000000007,-0.4748197252421787,-0.8800830804651013
RBEND,ANALYTIC,-pi/2,0,0.9999999999999999,1.0,1.0,6.123233995736766e-17
RBEND,BMAD,-pi/2,0,1.0,1.0,1.0,0.0
RBEND,OPALX,-pi/2,0,0.793658,-0.25462000000000007,0.4748197252421787,-0.8800830804651013
