case,code,dt,t,s_path,rms_x,rms_s,<x>,<s>,ref_x,ref_z,ref_px,ref_pz
SBEND +pi/4,BMAD,runge_kutta,-,-,0.0,0.0,0.0,0.0,-,-,-,-
SBEND +pi/4,OPALX,1.0e-11,4.999999999999996,1.498961400593998,0.0,0.0,-1.369305039201256e-13,4.63431376607204e-14,-0.7261036800485812,1.252773800931587,-1385.899988241733,1383.059311740599
SBEND +pi/4,OPALX,5.0e-12,5.004999999999938,1.50046088337402,0.0,0.0,-1.511966758679394e-13,1.37735092428648e-13,-0.726749064949448,1.254249122062582,-1384.2711547648,1384.68957072946
SBEND +pi/4,OPALX,1.0e-12,5.003000000000283,1.499861464821382,0.0,0.0,-1.029910752447312e-12,2.476520507763147e-13,-0.7264085008606805,1.253741907480274,-1384.597270964392,1384.363476273042
SBEND +pi/4,OPALX,5.0e-13,5.003499999999852,1.500011366229092,0.0,0.0,-1.894916490268614e-12,5.722418524277406e-13,-0.7264728854704332,1.253889515151513,-1384.434286507254,1384.526469065844
