ANGLE,E1,signed_distance_min,signed_distance_max,signed_distance_final,crosses_nominal_exit_plane,final_ref_x,final_ref_z,final_t_ns,final_s_path_m,status,monitor_s,t_ref_ns,ref_bg0,n_particle
+pi/4,0,-0.8981940481540971,0.4989477830460751,0.4989477830460751,1.0,-0.7260579779095756,1.252800288525335,4.999999999999996,1.498961400598714,OK,1.0000133754655172,3.3356883104600348,1957.9746228044696,1000
-pi/4,0,-0.8981938936705223,0.4989749544785478,0.4989749544785478,1.0,0.7261493811335887,1.252747311509634,4.999999999999996,1.498961400598715,OK,0.9999861666284461,3.3355975515369947,1957.974622804472,1000
+pi/2,0,-0.6366128229665762,0.4989360101999698,0.4989360101999698,1.0,-1.135555782567551,0.635639857142909,4.999999999999996,1.498959318903352,OK,1.0000223063013152,3.3357250235250113,1957.974622804471,1000
-pi/2,0,-0.6366126042372119,0.4989823838915026,0.4989823838915026,1.0,1.135602156259084,0.635557004533004,4.999999999999996,1.498959318903359,OK,0.9999758577634891,3.3355700878598746,1957.974622804471,1000
+pi/4,10deg,-0.8981940481540971,0.4980850722924204,0.4980850722924204,1.0,-0.745290978209859,1.232347230976828,4.999999999999996,1.49896134658247,OK,1.0000133754655172,3.3356883104600348,1957.9746228044696,1000
-pi/4,10deg,-0.8981938936705223,0.49851940171976744,0.49851940171976744,1.0,0.710109054462449,1.26814338929093,4.999999999999996,1.498961437994616,OK,1.000016166685892,3.3356975031609264,1957.974622804472,1000
+pi/2,10deg,-0.6366128229665762,0.49138133001401374,0.49138133001401374,1.0,-1.128001102381595,0.553661605640471,4.999999999999996,1.498958986496551,OK,1.0000223063013152,3.3357250235250113,1957.974622804471,1000
-pi/2,10deg,-0.6366126042372119,0.4919311057999818,0.4919311057999818,1.0,1.128550878167563,0.7230193049874355,4.999999999999996,1.498959601449111,OK,1.000821785077789,3.3383908832682354,1957.9746228044705,1000
