row,code,ANGLE,E1,status,rms_x,rms_y,rms_zeta,rms_px_can,rms_py_can,rms_delta
ENTRANCE,COMMON,ALL,ALL,OK,0.0009897189782902664,0.000986573951398425,0.0010144867451094674,0.001045596857511693,0.0010225021866921372,0.0010003875752146204
EXIT,BMAD,+pi/4,0,OK,0.0012551502944370765,0.0014491641345587831,0.001295918237890346,0.00114676199188462,0.0010225021866921372,0.0010003875752146204
EXIT,OPALX-MON,+pi/4,0,OK,0.0014139691464461997,0.0014491197527264452,2.220446049250313e-16,0.0015134357022036657,0.0010224902159460666,0.0010003754689304988
EXIT,BMAD,-pi/4,0,OK,0.0012039862997145399,0.0014490695120500966,0.0013080948860575837,0.0011773997001755041,0.0010225021866921372,0.0010003875752146204
EXIT,OPALX-MON,-pi/4,0,OK,0.0013272317384245434,0.0014490994668978545,3.3306690738754696e-16,0.0015639382516990958,0.00102249038090909,0.001000375468930454
EXIT,BMAD,+pi/2,0,OK,0.0009339719539618308,0.001449200489830539,0.0016311743055778735,0.0017774791267319392,0.0010225021866921372,0.0010003875752146204
EXIT,OPALX-MON,+pi/2,0,OK,0.0012810756815396635,0.00144912788236696,2.220446049250313e-16,0.002307910433586789,0.001022490125744796,0.0010003754689314893
EXIT,BMAD,-pi/2,0,OK,0.0009082454996139943,0.0014490660348537297,0.0016168868985915444,0.0019172389980230851,0.0010225021866921372,0.0010003875752146204
EXIT,OPALX-MON,-pi/2,0,OK,0.0012312966620755478,0.0014490933004166475,2.220446049250313e-16,0.0025209036199159555,0.0010224915102504905,0.0010003754689315698
EXIT,BMAD,+pi/4,10deg,OK,0.0012551502944370765,0.0014491641345587831,0.001295918237890346,0.00114676199188462,0.0010225021866921372,0.0010003875752146204
EXIT,OPALX-MON,+pi/4,10deg,OK,0.0014486793493444403,0.0014491197762569999,2.220446049250313e-16,0.0014889492987335353,0.0010224902522441449,0.001000375468930191
EXIT,BMAD,-pi/4,10deg,OK,0.0012039862997145399,0.0014490695120500966,0.0013080948860575837,0.0011773997001755041,0.0010225021866921372,0.0010003875752146204
EXIT,OPALX-MON,-pi/4,10deg,OK,0.0012946681514002189,0.0014491219414055942,0.0,0.0014830306150730693,0.0010224903151077882,0.0010003754689304435
EXIT,BMAD,+pi/2,10deg,OK,0.0009339719539618308,0.001449200489830539,0.0016311743055778735,0.0017774791267319392,0.0010225021866921372,0.0010003875752146204
EXIT,OPALX-MON,+pi/2,10deg,OK,0.0012881832468619198,0.0014491279626289814,2.220446049250313e-16,0.002336432806778371,0.001022490725032135,0.001000375468931634
EXIT,BMAD,-pi/2,10deg,OK,0.0009082454996139943,0.0014490660348537297,0.0016168868985915444,0.0019172389980230851,0.0010225021866921372,0.0010003875752146204
EXIT,OPALX-MON,-pi/2,10deg,OK,0.0012404858510501344,0.0014497272106296036,0.0,0.0023906686060128374,0.0010224919700411266,0.0010003754689315355
