case,code,dt,t,s_path,rms_x,rms_s,<x>,<s>,ref_x,ref_z,ref_px,ref_pz
RBEND +pi/4,BMAD,runge_kutta,-,-,0.0,0.0,0.0,0.0,-,-,-,-
RBEND +pi/4,OPALX,1.0e-11,4.999999999999996,1.498961591399162,0.0,0.0,-0.3119366682306318,0.04671209740063637,-0.4309235916527752,1.391753592654442,-1081.342951818746,1632.258943229518
RBEND +pi/4,OPALX,5.0e-12,5.004999999999938,1.500460931062304,0.0,0.0,-0.3140933311259967,0.04646349097141835,-0.4305530576659088,1.393498022984187,-1079.469936563957,1633.498237910105
RBEND +pi/4,OPALX,1.0e-12,5.003000000000283,1.499861466729072,0.0,0.0,-0.3134953595908944,0.04654149030684066,-0.4304620652945854,1.392899106878252,-1079.844816672336,1633.250442861326
RBEND +pi/4,OPALX,5.0e-13,5.003499999999852,1.500011366706272,0.0,0.0,-0.313707644000735,0.04649135597978586,-0.4303878404047695,1.39309806861366,-1079.47004014284,1633.498169461737
