stage,code,rms_x,rms_y,rms_z,rms_px,rms_py,rms_ps
entrance,BMAD,0.0009897189782902282,0.000986573951398383,0.0010144867451094284,2.047227337677684,2.002009105510291,1.9586278304699685
entrance,OPALX,0.0009897189782902664,0.000986573951398425,0.0010144867451094674,2.04722733767776,2.0020091055103637,1.958627830470036
exit,BMAD,0.0012551502944370765,0.0014491641345587831,0.001295918237890346,2.2453037064237176,2.0020091055103637,1.9586167896803766
exit,OPALX,0.001938001590415097,0.001855775840705597,0.001120836554680244,2.773948712983541,2.002009356271823,2.105125391691088
