case,code,dt,<x>,<s>,rms_x,rms_s,rms_px,rms_ps
RBEND +pi/4,BMAD,runge_kutta,0.0,0.0,0.0,0.0,0.0,0.0
RBEND +pi/4,OPALX,1.0e-11,-0.3119366682306318,0.04671209740063637,0.0,0.0,0.0,0.0
RBEND +pi/4,OPALX,5.0e-12,-0.3140933311259967,0.04646349097141835,0.0,0.0,0.0,0.0
RBEND +pi/4,OPALX,1.0e-12,-0.3134953595908944,0.04654149030684066,0.0,0.0,0.0,0.0
RBEND +pi/4,OPALX,5.0e-13,-0.313707644000735,0.04649135597978586,0.0,0.0,0.0,0.0
